Zeit;Wert 1-avg[W]
2023-01-07 14:56:26.955489; 32.12298
2023-01-07 14:56:27.976795; 31.377852
2023-01-07 14:56:28.992457; 31.293954
2023-01-07 14:56:30.011020; 31.335903
2023-01-07 14:56:31.014055; 31.335903
2023-01-07 14:56:32.021650; 31.335903
2023-01-07 14:56:33.030915; 30.950304
2023-01-07 14:56:34.047046; 31.681686
2023-01-07 14:56:35.052680; 31.944519
2023-01-07 14:56:36.062093; 31.645908
2023-01-07 14:56:37.070282; 31.994102
2023-01-07 14:56:38.074440; 31.425996
2023-01-07 14:56:39.083483; 31.20656
2023-01-07 14:56:40.088238; 31.122784
2023-01-07 14:56:41.099474; 31.688272
2023-01-07 14:56:42.124375; 32.25852
2023-01-07 14:56:43.134132; 31.730636
2023-01-07 14:56:44.138120; 31.42857
2023-01-07 14:56:45.149626; 31.470756
2023-01-07 14:56:46.154320; 31.210056
2023-01-07 14:56:47.156966; 31.335903
2023-01-07 14:56:48.163211; 31.168107
2023-01-07 14:56:49.164557; 30.950304
2023-01-07 14:56:50.171170; 31.732404
2023-01-07 14:56:51.193031; 31.859673
2023-01-07 14:56:52.218329; 31.470756
2023-01-07 14:56:53.220674; 31.210056
2023-01-07 14:56:54.239417; 31.168107
2023-01-07 14:56:55.248412; 31.210056
2023-01-07 14:56:56.252020; 31.126158
2023-01-07 14:56:57.269524; 31.689981
2023-01-07 14:56:58.293650; 31.689981
2023-01-07 14:56:59.302781; 31.647558
2023-01-07 14:57:00.308717; 31.732404
2023-01-07 14:57:01.315550; 31.605135
2023-01-07 14:57:02.320766; 31.126158
2023-01-07 14:57:03.327904; 31.42857
2023-01-07 14:57:04.331008; 31.168107
2023-01-07 14:57:05.350423; 31.689981
2023-01-07 14:57:06.384856; 31.81725
2023-01-07 14:57:07.397462; 31.512942
2023-01-07 14:57:08.425157; 32.16564
2023-01-07 14:57:09.450907; 31.168107
2023-01-07 14:57:10.453241; 31.512942
2023-01-07 14:57:11.456764; 31.252005
2023-01-07 14:57:12.460469; 30.950304
2023-01-07 14:57:13.469728; 31.81725
2023-01-07 14:57:14.478071; 31.555128
2023-01-07 14:57:15.491121; 31.470756
2023-01-07 14:57:16.505818; 31.470756
2023-01-07 14:57:17.518374; 32.08032
2023-01-07 14:57:18.522026; 31.168107
2023-01-07 14:57:19.532996; 31.033728
2023-01-07 14:57:20.543829; 30.992016
2023-01-07 14:57:21.552344; 66.280368
2023-01-07 14:57:22.572237; 50.314626
2023-01-07 14:57:23.591414; 50.372928
2023-01-07 14:57:24.599637; 49.063503
2023-01-07 14:57:25.606229; 46.571448
2023-01-07 14:57:26.619885; 47.028384
2023-01-07 14:57:27.621964; 48.949269
2023-01-07 14:57:28.633078; 51.25125
2023-01-07 14:57:29.637327; 50.84124
2023-01-07 14:57:30.659875; 46.827408
2023-01-07 14:57:31.670322; 47.1393
2023-01-07 14:57:32.682343; 47.709996
2023-01-07 14:57:33.694077; 50.636235
2023-01-07 14:57:34.696615; 51.046245
2023-01-07 14:57:35.715079; 51.105258
2023-01-07 14:57:36.721535; 48.373122
2023-01-07 14:57:37.729215; 47.5422
2023-01-07 14:57:38.738542; 49.993965
2023-01-07 14:57:39.740475; 50.900016
2023-01-07 14:57:40.743828; 50.987232
2023-01-07 14:57:41.745285; 47.855988
2023-01-07 14:57:42.765367; 48.316479
2023-01-07 14:57:43.765817; 47.654064
2023-01-07 14:57:44.769159; 50.102328
2023-01-07 14:57:45.786951; 49.78302
2023-01-07 14:57:46.792026; 51.74064
2023-01-07 14:57:47.795671; 49.31928
2023-01-07 14:57:48.814741; 47.855136
2023-01-07 14:57:49.824061; 48.31392
2023-01-07 14:57:50.843743; 50.102328
2023-01-07 14:57:51.861790; 49.52224
2023-01-07 14:57:52.867184; 48.429765
2023-01-07 14:57:53.870900; 46.175052
2023-01-07 14:57:54.890392; 48.6324
2023-01-07 14:57:55.910419; 50.685248
2023-01-07 14:57:56.912076; 50.84124
2023-01-07 14:57:57.916064; 50.84124
2023-01-07 14:57:58.922524; 46.370709
2023-01-07 14:57:59.927251; 46.315962
