"(PDH-CSV 4.0) (Mitteleuropäische Zeit)(-60)","\\DJ-TESLA\Arbeitsspeicher\Zugesicherte verwendete Bytes (%)","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%)","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Physikalischer Datenträger(0 C:)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datenträger(_Total)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datenträger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datenträger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%)"
"01/07/2023 14:52:56.164","34.520626704795432715","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","514.20065763872480602","0","0","0","0","0","0"," "," "," "," ","0","514.20065763872480602","0","0","102042.92120582444477","102042.92120582444477","14.362445534515355661","12.805399089688362935","3.4631204207264065786","5.0201668655533993046","8.9127829776208820078"
"01/07/2023 14:52:57.168","34.517606425685251281","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","3765.7365197840144901","0","0","0","0","0","0"," "," "," "," ","0","3765.7365197840144901","0","0","281557.5444887400372","281557.5444887400372","3.4903277134734178588","1.9337200959487987895","0.37711247842416861786","1.9337200959487987895","1.9337200959487987895"
"01/07/2023 14:52:58.171","34.524371855548672272","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.57493401816094547","0","0","0","0","0","0"," "," "," "," ","0","131.57493401816094547","0","0","8165.6201475513207697","8165.6201475513207697","5.0011482090729248995","5.0011482090729248995","1.8864317569113775441","0.32907353083061474663","3.0544454429256351347"
"01/07/2023 14:52:59.175","34.510116124178772168","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.50648247257691992","0","0","0","0","0","0"," "," "," "," ","0","131.50648247257691992","28564.802011013071024","28564.802011013071024","195872.92807551819715","195872.92807551819715","9.7025179969731816243","15.929930548906067855","5.0319585830235098456","0.36139916907385050138","7.7564565564241956253"
"01/07/2023 14:53:00.154","34.510116124178772168","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","200.30507689568827345","0","0","0","0","0","0"," "," "," "," ","0","200.30507689568827345","0","0","8371.934642497337336","8371.934642497337336","2.6026612657234382553","1.00598358155497003","1.00598358155497003","4.1993389498919064806","2.2034867353127318701"
"01/07/2023 14:53:01.162","34.604268412712087866","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","3684.089887034462663","0","0","0","0","0","0"," "," "," "," ","0","3684.089887034462663","0","0","52790.747660067565448","52790.747660067565448","8.6022678039064501831","7.0531536988879146577","7.0531536988879146577","8.6022678039064501831","7.8277107513971770913"
"01/07/2023 14:53:02.164","34.733898969072356522","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.74587538097762263","0","0","0","0","0","0"," "," "," "," ","0","131.74587538097762263","0","0","16352.457744257102604","16352.457744257102604","54.780489401594564924","15.798152678831256068","23.59462002338391784","34.509674305757641832","32.170734102391840281"
"01/07/2023 14:53:03.165","34.731965985785230089","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","195.78105804279076096","0","0","0","0","0","0"," "," "," "," ","0","195.78105804279076096","0","0","81828.491198292962508","81828.491198292962508","26.64341964379093497","17.278749811083393695","34.447311171047211076","18.839528116534655311","24.302252185614047875"
"01/07/2023 14:53:04.167","34.247915291750786082","0","2.374267578125","0","63.870502556067570765","0","0","0","0","0","0"," "," "," "," ","0","4415.0484891881706062","0","0","0","0","0","0"," "," "," "," ","63.870502556067570765","4415.0484891881706062","0","0","28613.985145118269429","28613.985145118269429","39.18414387542038213","9.5559062762662136947","26.709096465250205199","14.234049055080033597","22.420803908023167139"
"01/07/2023 14:53:05.154","34.750127940147677919","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","198.70043830680867813","0","0","0","0","0","0"," "," "," "," ","0","198.70043830680867813","0","0","37371.902845623444591","37371.902845623444591","73.072650571655600515","12.882104790650439341","11.298143059571351898","9.7141813284922768901","26.741764868914874143"
